Item Name,Category
Hard Disk,Laptop
Hard Disk Shredding Service,Machine
Hard disk shredding service charge,Charges
Hardbound Dairy,Paper
Hardbound Diaries,Paper
Hardware Box,Box
Hardware items,Plastics
HARPIC,Bio
Harpic 1ltr,Bio
HARPIC 2,Bio
Harvester Tool,Others
Hazardous Waste Disposal,Hazardous
HDPE,HDPE
HDPE & PP Caps,HDPE
HDPE (colour),HDPE
HDPE (TR),HDPE
HDPE (White),HDPE
HDPE- Bottle,HDPE
HDPE Credits,HDPE
HDPE Grade - 2 ,HDPE
HDPE Grade 1,HDPE
HDPE Grade- 1,HDPE
HDPE Grade 1 FMCG,HDPE
HDPE Grade 2,HDPE
HDPE Grade 2 Non FMCG,HDPE
HDPE JOB WORK,HDPE
HDPE Nursery Nets,HDPE
HDPE Regrinds ,HDPE
HDPE TR,HDPE
HDPE/PP Woven Bags,HDPE
HDPE-Cover,HDPE
HE00404-Hex Bolt,Screw
HE00407 Nylon Load Wheels With Bearing h,Machine
HE00409-Nut,Screw
HE00410-Spring Washer,Washer
HE00601-Dowel Pin,Others
HE00604-Spacer,Others
HE00606-Axle,Metal
HE00607 Nylon Rollers With Bearing ,Machine
HE00701 Battery,Battery
HE00816-Carbon Brush,Plastics
Head cap,Textiles
Health Camp,Services
Health Check Up,Services
Heatex,Others
Helmet,Metal
Highlighter,Plastics
Hikvision 16 Channel NVR,Camera
Hikvision 2 MP Dome_Bullet camera DS_2CD1023G0E_I,Camera
Hikvision 2 MP DS_2CD1323G0E_I Dome Camera,Camera
Hikvision 4 Port POE DS_3E505P_E_M GIGABIT,Camera
Hikvision PTZ 2 MP DS_2DE4225IW_DE,Camera
Hindi Translation Services,Services
HM,Others
HM Granules,Others
Holder & Plug,Switch
Hopper,Others
HORIZONTAL AUTOMATIC,Others
Hose pipes,PVC
Hose reel Drum,Others
House Keeping Materials,Bio
HP 430 G5 LAPTOP SCREEN,Laptop
HP ADAPTER,Battery
HP D-PANEL,Laptop
HP SPEAKER,Laptop
HRT tissue roll,Paper
HT 224 220g 0.0001g 80mm Dia Analytical Balance With Density Measurement Kit,Machine
Huawei E8372 4G/LTE Wi-Fi Wingle ,Laptop
Hub & Spoke Waste Collection,Collection
Hulladek Collection Center ,Collection
Hydraulic Baling Machine,Machine
HYDRAULIC BALL VALVE,Machine
Hydraulic cylinder,Machine
