Item Name,Category,Delete
CT- Upcycled Bantings,Recycled paper Products,
CT- Upcycled Bells - Big,Others,
CT- Upcycled Bells - Small,Others,
CT- Upcycled Patchwork Bag,Upcycled Textile Products,
CT- Upcycled Patchwork Coasters,Plastics,
CT- Upcycled Placemats,Plastics,
Ctb 1803 Cantilever Tool Box Taparia,Others,
CTB1805 Tool Box Metal,Others,
CT-Upcycled Cloth Masks,Upcycled Textile Products,
Cupboard,Others,
Curd,Others,
Cut Resestance Gloves,Others,
Cutting and Sanding,Repairs and Maintenance,
"Cutting Machine 8""",Machine,
D.E.O Spanner 10by11 Taparia,Elecric & Machine Tools,
D.E.O Spanner 12by13 Taparia,Elecric & Machine Tools,
D.E.O Spanner 14by15 Taparia,Elecric & Machine Tools,
D.E.O Spanner 18by19 Taparia,Elecric & Machine Tools,
D.E.O Spanner 20by22 Taparia,Elecric & Machine Tools,
D.E.O Spanner 21by23 Taparia,Elecric & Machine Tools,
D.E.O Spanner 24by27 Taparia,Elecric & Machine Tools,
D.E.O Spanner 30by32 Taparia,Elecric & Machine Tools,
D.E.O Spanner 36by41  Taparia,Elecric & Machine Tools,
D.E.O Spanner 6by7 Taparia 24.58,Elecric & Machine Tools,
D.E.O Spanner 8by9 Taparia,Elecric & Machine Tools,
D.E.O Spanner16by17 Taparia,Elecric & Machine Tools,
Daily jaunt bag,Upcycled Textile Products,
Dangler/Tags,Recycled paper Products,
DC POT METER,Wire,
DDT30PJC2,Others,
Decomposer inoculants,Composter,
Delivery Charges,Charges,
Dell 18.5inch Monitor,Computer and Accessories,
DELL LOGO,Plastics,
Denim Diaries - Hardbound,Recycled paper Products,
Denim Diaries - Softbound,Recycled paper Products,
Denim Laptop Bag,Upcycled Textile Products,
Denim laptop sleeve,Upcycled Textile Products,
Denim Sling bag,Upcycled Textile Products,
DEP 10 x 11 Dbye Spanner,Elecric & Machine Tools,
DEP 12 x 13 Dbye Spanner,Elecric & Machine Tools,
DEP 14 x 15 Dbye Spanner,Elecric & Machine Tools,
DEP 16 x 17 Dbye Spanner,Elecric & Machine Tools,
DEP 18 X1 9 Dbye Spanner ,Elecric & Machine Tools,
DEP 20 x 22 Dbye Spanner,Elecric & Machine Tools,
DEP 21 x 23 Dbye Spanner ,Elecric & Machine Tools,
DEP 24 x 27 Dbye Spanner ,Elecric & Machine Tools,
DEP 30 x 32 Dbye Spanner ,Elecric & Machine Tools,
DEP 8 x 9 Dbye Spanner,Elecric & Machine Tools,
DER 36 x 41 Dbye Spanner ,Elecric & Machine Tools,
DER 46 x 50 Dbye Spanner,Elecric & Machine Tools,
Design of webinar invite,Paper,Remove
DESIGNING CHARGER ,Computer and Accessories,
Desktop Cabinet,Furniture,
Desktop Computer,Computer and Accessories,
Detention,Others,
Detergent Powder - 1/2 Kg,Consumables,
Detergent Soap,Consumables,
Dettol H/W,Consumables,
Dettol Soap,Consumables,
Development & Integration Cost,Charges,
Development of training materials,Other Services,
Development of video for GIZ project,Video and Audio Services,
Device Accessories,Machine,
Dewatering Screw Press,Elecric & Machine Tools,
Die Face Cutter,Others,
DISH WASH,Consumables,
Dismantling Bench ,Others,
Dispenser,Plastics,
Display Port to Vga Converter,Computer and Accessories,
Disposal and Processing Charge,Charges,
Distruction Of E-waste,Other Services,
Divyasree - 407/Bolero Vehicle Transportation Charges,Transportation,
Divyasree - Small Vehicle Transportation charge,Transportation,
DLink Cat 6 Cable,Wire,
D-Link Cat 6 Cable,Wire,
Dob Bags,PP Woven Bags/Sacks,
Docket,Others,
Doctor Consultation,Charges,
Door to Door Collection,Collection Charges,
Dowel Pins,Others,
Dpoint Waste Collection,Collection Charges,
Dr Waste to MRF,Others,
Draw Bar Axle,Elecric & Machine Tools,
Drive potentiometer,Elecric & Machine Tools,
Drive Roller,Others,
Drum,Others,
Dry waste and Mixed waste Processing,Processing Fee,
dry waste bags ,PP Woven Bags/Sacks,
Dry waste Clearance ,Transportation,
Dry Waste Payback,Payback,
Dry Waste Reject,Transportation,
Dry Waste to MRF,Transportation,
DT 1_IMP_ NATURAL WHITE,Others,
Dust Mask Yellow,Consumables,
Duster Machine,Machine,
Dusting Cloth,Consumables,
DVR,Others,
DWCC Fire Audit ,Others,
E Waste ,Mixed Ewaste,
E waste disposal (Hazardous E waste),Hazardous Disposal,
E waste Tube lights ,Lighting Items,
E.B Door work,Others,
Earned Salary ,Services,Remove
Earth Pit,Transportation,
EASEL STAND,Plastics,
ECG,Machine,
Eco Board : 12mm,Board,
Eco Board : 18mm,Board,
Eco Board : 25mm,Board,
Eco Board : 30mm,Board,
Eco Board : 5mm,Board,
Eco Board : 8mm ,Board,
Eco Board Planter,Board,
Eco Friendly Plantable Kit,Consumables,
Eco Round Neck Print,Consumables,
Education Check,Others,
ELE Bend,Others,
ELE Pipe,PVC Items,
Electical cable,Wire,
Electric Mesh for Shredder Machine,Machine,
Electric router,Machine,
Electric Work,Repairs and Maintenance,
Electrical,Repairs and Maintenance,
Electrical Audit,Other Services,
Electrical Bulbs,Lighting Items,
Electrical design,Others,
Electrical Fittings,Wire,
Electrical Items,Mixed Ewaste,
Electrical Spares & Service,Repairs and Maintenance,
ELECTRICAL WIRING ,Wire,
ELECTRICAL WIRING MATERIAL,Wire,
Electrical work,Repairs and Maintenance,
Electricity AC 220V ,Air Conditioner,
ELECTRICITY BILL(MONTHLY),Charges,
Electronic weighing scale service,Repairs and Maintenance,
Electronic Weighing Scale Spares,Machine,
Eletrical Equipments old conveyor,Machine,
Ellenvipro Organic Wet Waste Composter,Composter,
Elmec PP Thread 840/2/y 1000 mtrs cone - White colour,Consumables,
Emergancy Box & Connection,Wire,
Emergency board,Board,
Emergency Lights,Lighting Items,
Emergency Preparedness Training,Awareness,
Emergency switch,Elecric & Machine Tools,
Employee ESIC,Services,Remove
Employee PF,Charges,
Engineering & Execution,Charges,
ENI Hydraulic Oil Aw 68(210 Ltr)(N),Others,
Envelope,Recycled paper Products,
Enzyme Premix,Consumables,
EPR Consultancy Fee,Consultancy Charges/Services,
EPR Credit Transfer,Charges,
EPR E waste Credits,Charges,
EPR FEE,Charges,
EPR incentive,Charges,
ERECTION INSTALLATION CHARGES,Charges,
ESD back to back Workstation - 2 Tier,Mixed Ewaste,
ESD Tile Flooring,Office Set-Up,
ESD Tiles Flooring,Office Set-Up,
ESD Workstation - 2 Tier (Single Sided),Mixed Ewaste,
ESSAE DS 215 N,Others,
Essae Electronic Weighing Scale,Machine,
"Ethical paper - 25""x36"" - 75 GSM",Recycled paper Products,
"Ethical Paper 25 X 36"" 100 GSM",Recycled paper Products,
Ethical sourcing incentive,Charges,
Ethical Surcharges,Charges,
event,Awareness,
Ewaste,Mixed Ewaste,
E-Waste,Mixed Ewaste,
E-waste Awareness,Awareness,
E-waste Awareness Offline,Awareness,
E-Waste Awareness Online,Awareness,
E-Waste Awareness SPCB,Awareness,
E-Waste Bin,Bins,
e-waste channelization through collection drive,Collection Charges,
